C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 07:30:00",1313,0,0,"2024/06/10 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 08:00:00",1366,0,0,"2024/06/10 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 08:30:00",1408,0,0,"2024/06/10 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 09:00:00",1415,0,0,"2024/06/10 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 09:30:00",1407,0,0,"2024/06/10 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 10:00:00",1320,0,0,"2024/06/10 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 10:30:00",1251,0,0,"2024/06/10 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 11:00:00",1302,0,0,"2024/06/10 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 11:30:00",1254,0,0,"2024/06/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 12:00:00",1095,0,0,"2024/06/10 12:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 12:30:00",916,0,0,"2024/06/10 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 13:00:00",949,0,0,"2024/06/10 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 13:30:00",1111,0,0,"2024/06/10 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 14:00:00",1162,0,0,"2024/06/10 14:00:02"
